names,teams,leagues,positions,jersey_numbers,goals,assists,yellow_cards,red_cards,shots,shots_og,saves,clean_sheets,goals_against,photo_urls,heights,weights,birthdates,nationalities
Sophia Smith,Portland Thorns FC,nwsl,N/A,9,11,5,2,0,75,39,0,2,16,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Sophia_Smith_001.jpeg,"5' 6""",121 lbs,2000-08-10T07:00Z,USA
Sophie Schmidt,Houston Dash,nwsl,N/A,13,0,0,3,0,17,3,0,8,15,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\25/Sophie_Diana_Schmidt.png,"5' 8""",157 lbs,1988-06-28T07:00Z,Canada
Christine Sinclair,Portland Thorns FC,nwsl,N/A,12,3,1,0,0,27,10,0,1,12,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Christine_Sinclair_001.jpeg,"5' 9""",148 lbs,1983-06-12T07:00Z,Canada
Abby Erceg,Racing Louisville FC,nwsl,N/A,20,2,0,1,0,15,6,0,6,22,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Abby_Erceg_002.jpeg,"5' 10""",150 lbs,1989-11-20T08:00Z,New Zealand
Nadia Nadim,Racing Louisville FC,nwsl,N/A,10,1,0,0,0,14,5,0,0,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\29/Nadia_Nadim_1.png,"5' 9""",N/A,1988-01-02T08:00Z,Denmark
María Sánchez,Houston Dash,nwsl,N/A,7,4,4,2,0,29,11,0,1,17,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Maria_Sanchez_002.jpeg,"5' 5""",N/A,1996-02-20T08:00Z,Mexico
Alexis Loera,Kansas City Current,nwsl,N/A,22,0,3,1,0,4,1,0,1,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Alexis_Loera.jpeg,"5' 7""",163 lbs,1999-06-19T07:00Z,USA
Emily van Egmond,San Diego Wave FC,nwsl,N/A,5,0,0,2,0,9,3,0,3,7,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Emily_Van_Egmond_001.jpeg,"5' 9""",152 lbs,1993-07-12T07:00Z,Australia
Marta,Orlando Pride,nwsl,N/A,10,3,4,1,0,30,13,0,2,16,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Marta_001.jpeg,"5' 4""",128 lbs,1986-02-19T08:00Z,Brazil
Rafaelle,Orlando Pride,nwsl,N/A,4,1,0,1,0,7,4,0,1,7,N/A,"5' 9""",150 lbs,1991-06-18T07:00Z,Brazil
Sofia Jakobsson,San Diego Wave FC,nwsl,N/A,10,2,1,2,0,13,7,0,1,11,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Sofia_Jakobsson_001.jpeg,"5' 9""",132 lbs,1990-04-23T07:00Z,Sweden
Alex Morgan,San Diego Wave FC,nwsl,N/A,13,6,4,0,0,47,21,0,4,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\27/Alexandra_Morgan_Carrasco_1.PNG,"5' 7""",137 lbs,1989-07-02T07:00Z,USA
Megan Rapinoe,OL Reign,nwsl,N/A,15,2,5,2,0,32,12,0,1,14,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Megan_Rapinoe_001.jpeg,"5' 6""",130 lbs,1985-07-05T07:00Z,USA
Ali Krieger,NJ/NY Gotham FC,nwsl,N/A,11,0,0,1,0,3,1,0,3,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Ali_Krieger_001.jpeg,"5' 6""",130 lbs,1984-07-28T07:00Z,USA
Nicole Barnhart,Washington Spirit,nwsl,N/A,28,0,0,0,0,0,0,9,0,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Nicole_Barnhart_002.jpeg,"5' 10""",161 lbs,1981-10-10T07:00Z,USA
Becky Sauerbrunn,Portland Thorns FC,nwsl,N/A,4,0,0,0,0,2,0,0,1,4,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Becky_Sauerbrunn.png,"5' 7""",139 lbs,1985-06-06T07:00Z,USA
Ali Riley,Angel City FC,nwsl,N/A,5,1,0,3,0,6,2,0,1,21,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Ali_Riley_002.jpeg,"5' 4""",126 lbs,1987-10-30T08:00Z,New Zealand
Amandine Henry,Angel City FC,nwsl,N/A,26,0,0,0,0,3,3,0,0,2,https://d2nkt8hgeld8zj.cloudfront.net\images\players\headshot/3c765kc3b4cmgie0qf84jh1hx.png,"5' 7""",126 lbs,1989-09-28T07:00Z,France
Kelley O'Hara,NJ/NY Gotham FC,nwsl,N/A,5,0,0,2,0,10,2,0,1,6,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Kelley_OHara_001.jpeg,"5' 5""",128 lbs,1988-08-04T07:00Z,USA
Raquel Rodríguez,Portland Thorns FC,nwsl,N/A,11,1,0,1,0,7,2,0,0,8,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Rocky_Rodriguez_001.jpeg,"5' 5""",119 lbs,1993-10-28T07:00Z,Costa Rica
Sydney Leroux,Angel City FC,nwsl,N/A,2,1,0,0,0,13,8,0,1,4,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Sidney_Leroux_001.jpeg,"5' 7""",N/A,1990-05-07T07:00Z,USA
Yuki Nagasato,Chicago Red Stars,nwsl,N/A,7,3,2,2,0,10,5,0,2,39,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Yuki_Nagasato_002.jpeg,"5' 6""",130 lbs,1987-07-15T07:00Z,Japan
Meghan Klingenberg,Portland Thorns FC,nwsl,N/A,25,0,3,2,0,9,2,0,4,21,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Meghan_Klingenberg_001.jpeg,"5' 2""",126 lbs,1988-08-02T07:00Z,USA
Meggie Dougherty Howard,San Diego Wave FC,nwsl,N/A,28,0,0,0,0,11,1,0,0,8,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\26/Meggie_Dougherty_Howard_1.PNG,"5' 5""",N/A,1995-07-27T07:00Z,USA
Christen Westphal,San Diego Wave FC,nwsl,N/A,20,0,4,1,0,6,1,0,8,21,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Christen_Westphal_001.jpeg,"5' 6""",N/A,1993-09-02T07:00Z,USA
Havana Solaun,Houston Dash,nwsl,N/A,6,0,0,0,0,1,0,0,0,1,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Havana_Solaun_002.jpeg,"5' 10""",128 lbs,1993-02-23T08:00Z,Jamaica
Shea Groom,Houston Dash,nwsl,N/A,10,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Shea_Groom_002.jpeg,"5' 6""",N/A,1993-03-04T08:00Z,USA
Simone Charley,Angel City FC,nwsl,N/A,7,0,0,0,0,1,0,0,0,1,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Simone_Charley_001.jpeg,"5' 8""",N/A,1995-02-04T08:00Z,USA
Kailen Sheridan,San Diego Wave FC,nwsl,N/A,1,0,0,0,1,0,0,55,8,18,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Kailen_Sheridan_001.jpeg,"5' 9""",150 lbs,1995-07-16T07:00Z,Canada
Kaleigh Kurtz,North Carolina Courage,nwsl,N/A,3,0,1,2,0,8,2,0,9,22,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Kaleigh_Kurtz.jpeg,"5' 8""",N/A,1994-09-09T07:00Z,USA
Savannah McCaskill,Angel City FC,nwsl,N/A,9,3,3,4,0,36,17,0,2,25,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Savannah_McCaskill_001.jpeg,"5' 4""",N/A,1996-07-31T07:00Z,USA
Kelli Hubly,Portland Thorns FC,nwsl,N/A,20,1,0,4,1,10,6,0,2,23,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Kelli_Hubly_001.jpeg,"5' 9""",N/A,1994-08-09T07:00Z,USA
Arin Wright,Chicago Red Stars,nwsl,N/A,3,1,0,1,0,11,4,0,3,40,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Arin_Wright_001.jpeg,"5' 7""",130 lbs,1992-12-25T08:00Z,USA
Jordyn Listro,Orlando Pride,nwsl,N/A,19,0,0,0,0,0,0,0,1,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Jordyn_Listro_001.jpeg,"5' 5""",119 lbs,1995-08-10T07:00Z,Canada
Casey Murphy,North Carolina Courage,nwsl,N/A,1,0,0,0,0,0,0,42,8,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\21/Casey_Murphy.jpeg,"6' 1""",159 lbs,1996-04-25T07:00Z,USA
Rose Lavelle,OL Reign,nwsl,N/A,16,0,1,0,0,8,4,0,0,3,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Rose_Lavelle_001.jpeg,"5' 4""",117 lbs,1995-05-14T07:00Z,USA
Ashley Hatch,Washington Spirit,nwsl,N/A,33,9,2,3,0,54,24,0,2,26,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Ashley_Hatch_002.jpeg,"5' 9""",N/A,1995-05-25T07:00Z,USA
Emily Sonnett,OL Reign,nwsl,N/A,2,0,1,4,0,9,2,0,5,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Emily_Sonnett_001.jpeg,"5' 7""",137 lbs,1993-11-25T08:00Z,USA
Danielle Colaprico,San Diego Wave FC,nwsl,N/A,24,0,1,3,0,9,1,0,3,18,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Danielle_Colaprico_001A.jpeg,"5' 3""",N/A,1993-05-06T07:00Z,USA
Megan Reid,Angel City FC,nwsl,N/A,6,0,0,0,0,4,1,0,0,14,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Megan_Reid_001.jpeg,"5' 8""",N/A,1996-07-08T07:00Z,USA
Morgan Gautrat,Kansas City Current,nwsl,N/A,2,0,0,1,0,4,0,0,0,4,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Morgan_Gautrat.jpeg,"5' 7""",121 lbs,1993-02-26T08:00Z,USA
Makenzy Doniak,San Diego Wave FC,nwsl,N/A,15,3,2,1,0,27,13,0,0,17,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Makenzy_Doniak_001.jpeg,"5' 8""",N/A,1994-02-25T08:00Z,USA
Brittany Ratcliffe,North Carolina Courage,nwsl,N/A,11,0,0,0,0,9,4,0,0,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\21/Brittany_Ratcliffe.jpeg,"5' 4""",N/A,1994-02-07T08:00Z,USA
Veronica Latsko,OL Reign,nwsl,N/A,24,4,2,2,0,16,6,0,1,10,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Veronica_Latsko_001.jpeg,"5' 8""",N/A,1995-12-12T08:00Z,USA
Kristen McNabb,San Diego Wave FC,nwsl,N/A,14,1,0,4,0,5,1,0,5,15,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Kristen_McNabb_001.jpeg,"5' 5""",N/A,1994-04-17T07:00Z,USA
Abby Smith,NJ/NY Gotham FC,nwsl,N/A,4,0,0,0,0,0,0,45,4,15,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Abby_Smith_001.jpeg,"5' 9""",N/A,1993-10-04T07:00Z,USA
Imani Dorsey,NJ/NY Gotham FC,nwsl,N/A,2,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Imani_Dorsey_001.jpeg,"5' 7""",N/A,1996-03-21T08:00Z,USA
Quinn,OL Reign,nwsl,N/A,5,1,1,1,0,3,1,0,2,9,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\29/Quinn_1_1.PNG,"5' 9""",146 lbs,1995-08-11T07:00Z,Canada
Nikia Smith,North Carolina Courage,nwsl,N/A,21,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,USA
Taylor Smith,NJ/NY Gotham FC,nwsl,N/A,20,1,1,1,0,11,2,0,1,4,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Taylor_Smith_001.jpeg,"5' 3""",N/A,1993-12-01T08:00Z,USA
Paige Nielsen,Angel City FC,nwsl,N/A,14,1,0,3,0,15,3,0,4,24,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Paige_Nielsen_001.jpeg,"5' 5""",N/A,1993-10-14T07:00Z,USA
Cassie Miller,Kansas City Current,nwsl,N/A,38,0,0,1,0,0,0,29,4,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\29/Cassie_Miller_1.png,"5' 11""",N/A,1995-04-28T07:00Z,USA
Carson Pickett,Racing Louisville FC,nwsl,N/A,16,0,0,3,0,13,5,0,5,19,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Carson_Pickett_002.jpeg,"5' 8""",N/A,1993-09-15T07:00Z,USA
Lynn Williams,NJ/NY Gotham FC,nwsl,N/A,10,7,2,1,0,76,34,0,4,19,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Lynn_Williams_001.jpeg,"5' 8""",126 lbs,1993-05-21T07:00Z,USA
Lo'eau LaBonta,Kansas City Current,nwsl,N/A,10,2,1,2,0,17,5,0,4,23,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Lo_Labonta.jpeg,"5' 1""",N/A,1993-03-18T08:00Z,USA
Jane Campbell,Houston Dash,nwsl,N/A,1,0,0,0,0,0,0,83,8,17,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Jane_Campbell_002.jpeg,"5' 9""",N/A,1995-02-17T08:00Z,USA
Andi Sullivan,Washington Spirit,nwsl,N/A,12,0,0,4,0,19,3,0,4,21,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\29/Andi_Maureen_Sullivan_1_1.PNG,"5' 7""",126 lbs,1995-12-20T08:00Z,USA
Ifeoma Onumonu,NJ/NY Gotham FC,nwsl,N/A,25,0,1,3,0,7,0,0,0,3,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Ifeoma_Onumonu_001.jpeg,"5' 7""",110 lbs,1994-02-25T08:00Z,Nigeria
Emily Boyd,Chicago Red Stars,nwsl,N/A,21,0,0,0,0,0,0,8,2,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2021\5\15/Emily_Boyd.png,"5' 9""",N/A,1996-07-25T07:00Z,USA
Katie Naughton,Houston Dash,nwsl,N/A,25,0,0,0,1,2,1,0,5,12,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Katie_Lind_002.jpeg,"5' 10""",N/A,1994-02-15T08:00Z,USA
Sabrina Flores,NJ/NY Gotham FC,nwsl,N/A,15,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Sabrina_Flores_001.jpeg,"5' 3""",N/A,1996-01-31T08:00Z,Mexico
Elizabeth Ball,Kansas City Current,nwsl,N/A,7,0,0,1,0,6,2,0,1,12,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Elizabeth_Ball.jpeg,"5' 6""",N/A,1995-10-19T07:00Z,USA
Mallory Weber,Kansas City Current,nwsl,N/A,20,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Mallory_Weber.jpeg,"5' 6""",N/A,1994-04-04T07:00Z,USA
Alyssa Naeher,Chicago Red Stars,nwsl,N/A,1,0,0,0,0,0,0,77,3,47,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Alyssa_Naeher_001.jpeg,"5' 9""",150 lbs,1988-04-20T07:00Z,USA
Julie Ertz,Angel City FC,nwsl,N/A,8,1,0,1,0,8,2,0,1,9,N/A,"5' 7""",132 lbs,1992-04-06T07:00Z,USA
Denise O'Sullivan,North Carolina Courage,nwsl,N/A,10,1,1,3,0,11,1,0,8,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\21/Denise_OSullivan.jpeg,"5' 4""",117 lbs,1994-02-04T08:00Z,Republic of Ireland
Claire Lavogez,Kansas City Current,nwsl,N/A,94,0,0,0,0,1,1,0,0,1,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\11\29/Claire_Lavogez.png,"5' 8""",139 lbs,1994-06-18T07:00Z,France
Allysha Chapman,Houston Dash,nwsl,N/A,2,0,0,1,0,2,1,0,4,10,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\25/Allysha_Lyn_Chapman.png,"5' 3""",121 lbs,1989-01-25T08:00Z,Canada
Andressa,Houston Dash,nwsl,N/A,77,1,0,0,0,9,3,0,0,1,N/A,"5' 6""",130 lbs,1992-11-10T08:00Z,Brazil
Wang Shuang,Racing Louisville FC,nwsl,N/A,77,2,2,2,0,27,9,0,0,14,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Wang_Shuang_002.jpeg,"5' 5""",128 lbs,1995-01-23T08:00Z,China PR
Annaïg Butel,Washington Spirit,nwsl,N/A,N/A,0,0,2,0,1,0,0,1,6,N/A,"5' 6""",110 lbs,1992-02-15T08:00Z,France
Emily Alvarado,Houston Dash,nwsl,N/A,N/A,0,0,0,0,0,0,0,0,0,N/A,"5' 9""",N/A,1998-06-09T07:00Z,Mexico
Celia Jiménez,Orlando Pride,nwsl,N/A,13,0,0,0,0,2,1,0,0,3,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Celia_001.jpeg,"5' 7""",N/A,1995-06-20T07:00Z,Spain
Jordan Thompson,Washington Spirit,nwsl,N/A,37,0,0,0,0,0,0,0,0,0,N/A,"5' 9""",141 lbs,1997-01-03T08:00Z,Northern Ireland
Shae Yanez,San Diego Wave FC,nwsl,N/A,30,0,0,0,0,0,0,7,0,4,https://d2nkt8hgeld8zj.cloudfront.net\images\players\headshot/4x0c0fhtuohubcm7u16qzr2wa.png,"5' 8""",N/A,1997-05-22T07:00Z,USA
Kelcie Hedge,Houston Dash,nwsl,N/A,17,0,0,0,0,0,0,0,0,0,N/A,"5' 7""",N/A,1997-09-19T07:00Z,USA
Ally Watt,Orlando Pride,nwsl,N/A,11,1,1,1,0,25,12,0,0,11,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Ally_Watt_001.jpeg,N/A,N/A,1997-03-12T08:00Z,USA
Nichelle Prince,Houston Dash,nwsl,N/A,8,0,2,0,0,8,3,0,0,2,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Nichelle_Prince_002.jpeg,"5' 4""",117 lbs,1995-02-19T08:00Z,Canada
Bayley Feist,Washington Spirit,nwsl,N/A,13,0,0,0,0,3,0,0,0,2,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Bayley_Feist_004.jpeg,"5' 7""",N/A,1997-03-14T08:00Z,USA
Sam Staab,Washington Spirit,nwsl,N/A,3,1,1,4,0,11,3,0,4,28,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Sam_Staab_002.jpeg,"5' 7""",N/A,1997-03-28T08:00Z,USA
Michelle Alozie,Houston Dash,nwsl,N/A,22,4,1,1,1,28,9,0,0,9,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Michelle_Alozie_002.jpeg,"5' 7""",N/A,1997-04-28T07:00Z,Nigeria
Claire Emslie,Angel City FC,nwsl,N/A,10,3,4,0,0,31,8,0,1,22,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Claire_Emslie_001.jpeg,"5' 7""",N/A,1994-03-08T08:00Z,Scotland
Natalia Kuikka,Portland Thorns FC,nwsl,N/A,14,1,2,3,0,14,2,0,3,26,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Natalia_Kuikka_001.jpeg,"5' 6""",N/A,1995-12-01T08:00Z,Finland
Marissa Sheva,Washington Spirit,nwsl,N/A,25,0,0,1,0,2,0,0,0,3,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Marissa_Sheva_002.jpeg,"5' 4""",N/A,1997-04-22T07:00Z,Republic of Ireland
Kaleigh Riehl,San Diego Wave FC,nwsl,N/A,18,0,0,1,0,2,1,0,6,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Kaleigh_Riehl_001.jpeg,"5' 8""",N/A,1996-10-21T07:00Z,USA
Ellie Jean,NJ/NY Gotham FC,nwsl,N/A,21,0,0,1,0,0,0,0,2,11,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Ellie_Jean_001.jpeg,"5' 7""",N/A,1997-01-31T08:00Z,USA
Midge Purce,NJ/NY Gotham FC,nwsl,N/A,23,3,2,4,0,27,14,0,0,9,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\28/Margaret_Purce.png,"5' 5""",N/A,1995-09-18T07:00Z,USA
Kayla Sharples,Chicago Red Stars,nwsl,N/A,28,1,0,1,0,4,2,0,2,16,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Kayla_Sharples_001.jpeg,"5' 11""",N/A,1997-06-17T07:00Z,USA
Marisa Viggiano,Houston Dash,nwsl,N/A,14,0,0,2,0,17,4,0,1,12,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Marisa_Viggiano_002.jpeg,"5' 4""",N/A,1997-02-05T08:00Z,USA
Haley Hanson,Orlando Pride,nwsl,N/A,2,1,0,4,0,15,4,0,6,28,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Haley_McCutcheon_001.jpeg,"5' 6""",N/A,1996-02-22T08:00Z,USA
Natalie Jacobs,Houston Dash,nwsl,N/A,4,0,0,4,1,5,0,0,4,16,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Natalie_Jacobs_002.jpeg,"5' 8""",N/A,1997-08-16T07:00Z,USA
Victoria Pickett,North Carolina Courage,nwsl,N/A,99,1,0,0,0,5,2,0,0,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Victoria_Pickett_001.jpeg,"5' 6""",N/A,1996-08-12T07:00Z,Canada
Crystal Dunn,Portland Thorns FC,nwsl,N/A,19,5,2,0,0,33,18,0,1,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Crystal_Dunn_001.jpeg,"5' 2""",117 lbs,1992-07-03T07:00Z,USA
Paige Monaghan,Racing Louisville FC,nwsl,N/A,5,3,0,1,0,18,11,0,0,14,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Paige_Monaghan_002.jpeg,"5' 7""",N/A,1996-11-13T08:00Z,USA
Dani Weatherholt,Angel City FC,nwsl,N/A,17,0,1,2,0,14,3,0,2,21,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Dani_Weatherholt_001.jpeg,"5' 8""",N/A,1994-03-17T08:00Z,USA
Dorian Bailey,Washington Spirit,nwsl,N/A,19,0,2,1,0,4,2,0,1,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Dorian_Bailey_002.jpeg,"5' 3""",N/A,1997-01-28T08:00Z,USA
Tegan McGrady,Portland Thorns FC,nwsl,N/A,29,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Tegan_McGrady_001.jpeg,"5' 6""",N/A,1997-10-11T07:00Z,USA
Kyra Carusa,San Diego Wave FC,nwsl,N/A,19,2,0,0,0,7,4,0,0,1,N/A,"5' 7""",146 lbs,1995-11-14T08:00Z,Republic of Ireland
Alana Cook,OL Reign,nwsl,N/A,4,0,1,2,1,3,0,0,5,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Alana_Cook_001.jpeg,"5' 9""",150 lbs,1997-04-11T07:00Z,USA
Mallory Swanson,Chicago Red Stars,nwsl,N/A,9,1,0,0,0,9,4,0,0,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Mallory_Swanson_001.jpeg,"5' 4""",117 lbs,1998-04-29T07:00Z,USA
Lauren Barnes,OL Reign,nwsl,N/A,3,0,1,1,0,2,0,0,5,23,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Lauren_Barnes_001.jpeg,"5' 5""",N/A,1989-05-31T07:00Z,USA
Allie Long,NJ/NY Gotham FC,nwsl,N/A,6,2,0,3,0,7,2,0,4,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Allie_Long_001_43.jpeg,"5' 8""",128 lbs,1987-08-13T07:00Z,USA
Gabby Carle,Washington Spirit,nwsl,N/A,14,0,1,2,0,1,0,0,3,26,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Gabrielle_Carle_002.jpeg,"5' 6""",115 lbs,1998-10-12T07:00Z,Canada
Thembi Kgatlana,Racing Louisville FC,nwsl,N/A,11,2,1,3,0,29,7,0,0,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Jordan_Baggett_002.jpeg,"5' 1""",108 lbs,1996-05-02T07:00Z,South Africa
