player_id,player_name,team_id,position_id,jersey_number,goals,assists,yellow_cards,red_cards,shots,shots_on_goal,saves,clean_sheets,goals_against,photo_url,height_(ft),weight_(lbs),birthdate,nationality_id
pl1,Sophia Smith,tm1,pos1,9,11,5,2,0,75,39,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Sophia_Smith_001.jpeg,5.5,121,2000-08-10 00:00:00,nat1
pl157,Hannah Betfort,tm1,pos1,33,2,0,0,0,12,5,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Hannah_Betfort_001.jpeg,5.83,-1,1999-01-04 00:00:00,nat1
pl267,Izzy D'Aquila,tm1,pos1,24,0,0,0,0,16,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Izzy_DAquila_001.jpeg,5.58,-1,2001-09-08 00:00:00,nat1
pl301,Natalie Beckman,tm1,pos1,45,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Natalie_Beckman_001.jpeg,5.17,-1,2000-03-25 00:00:00,nat1
pl154,Ryan Gareis,tm2,pos1,21,0,0,0,0,5,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Ryan_Gareis_002.jpeg,5.58,-1,1998-11-13 00:00:00,nat1
pl203,Cameron Tucker,tm2,pos1,39,0,0,1,0,7,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Cameron_Tucker_002.jpeg,5.75,-1,1999-07-15 00:00:00,nat1
pl94,Paige Monaghan,tm3,pos1,5,3,0,1,0,18,11,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Paige_Monaghan_002.jpeg,5.58,-1,1996-11-13 00:00:00,nat1
pl138,Jessica McDonald,tm3,pos1,14,0,0,0,0,4,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Jessica_McDonald_002.jpeg,6.0,-1,1988-02-28 00:00:00,nat1
pl167,Maddie Pokorny,tm3,pos1,17,0,1,0,0,5,2,0,0,0,N/A,0.0,-1,1996-11-24 00:00:00,nat1
pl173,Emina Ekic,tm3,pos1,13,0,0,0,0,1,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\29/Emina_Ekic_1.png,5.33,-1,1999-06-06 00:00:00,nat1
pl275,Kirsten Davis,tm3,pos1,22,4,1,1,0,38,13,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Kirsten_Davis_002.jpeg,0.0,-1,1998-09-08 00:00:00,nat1
pl220,Alexa Spaanstra,tm4,pos1,77,1,1,0,0,15,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Alexa_Spaanstra.jpeg,5.42,-1,2000-02-01 00:00:00,nat1
pl242,Kristen Hamilton,tm4,pos1,25,2,0,1,0,14,6,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Kristen_Hamilton.jpeg,5.33,-1,1992-04-17 00:00:00,nat1
pl258,Cecelia Kizer,tm4,pos1,5,6,2,0,0,30,14,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Cece_Kizer.jpeg,5.67,128,1997-08-07 00:00:00,nat1
pl290,Michelle Cooper,tm4,pos1,17,3,1,5,0,37,17,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Michelle_Cooper.jpeg,5.25,-1,2002-12-04 00:00:00,nat1
pl12,Alex Morgan,tm5,pos1,13,6,4,0,0,47,21,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\27/Alexandra_Morgan_Carrasco_1.PNG,5.58,137,1989-07-02 00:00:00,nat1
pl42,Makenzy Doniak,tm5,pos1,15,3,2,1,0,27,13,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Makenzy_Doniak_001.jpeg,5.67,-1,1994-02-25 00:00:00,nat1
pl140,Rachel Hill,tm5,pos1,3,0,0,3,0,9,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Rachel_Hill_001.jpeg,5.42,-1,1995-04-17 00:00:00,nat1
pl153,Amirah Ali,tm5,pos1,7,2,0,1,0,15,5,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Amirah_Ali_001.jpeg,5.67,-1,1998-12-07 00:00:00,nat1
pl308,Jaedyn Shaw,tm5,pos1,11,5,3,2,0,38,16,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\11\28/Jaedyn_Shaw.png,5.5,-1,2004-11-20 00:00:00,nat1
pl321,Melanie Barcenas,tm5,pos1,25,0,1,0,0,6,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\5\5/Melanie_Barcenas.png,5.33,-1,2007-10-30 00:00:00,nat1
pl199,Summer Yates,tm6,pos1,28,0,0,0,0,3,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Summer_Yates_001.jpeg,0.0,-1,2000-06-17 00:00:00,nat1
pl217,Messiah Bright,tm6,pos1,23,6,0,2,0,38,12,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Messiah_Bright_001.jpeg,0.0,-1,2000-01-12 00:00:00,nat1
pl13,Megan Rapinoe,tm7,pos1,15,2,5,2,0,32,12,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Megan_Rapinoe_001.jpeg,5.5,130,1985-07-05 00:00:00,nat1
pl44,Veronica Latsko,tm7,pos1,24,4,2,2,0,16,6,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Veronica_Latsko_001.jpeg,5.67,-1,1995-12-12 00:00:00,nat1
pl112,Tziarra King,tm7,pos1,23,0,0,1,0,9,3,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Tziarra_King_001.jpeg,5.75,-1,1998-08-24 00:00:00,nat1
pl162,Elyse Bennett,tm7,pos1,34,2,2,1,0,24,10,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Elyse_Bennett_001.jpeg,5.83,-1,1999-12-27 00:00:00,nat1
pl236,Bethany Balcer,tm7,pos1,8,6,1,0,0,35,13,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Bethany_Balcer_001.jpeg,5.75,-1,1997-03-07 00:00:00,nat1
pl54,Lynn Williams,tm8,pos1,10,7,2,1,0,76,34,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Lynn_Williams_001.jpeg,5.67,126,1993-05-21 00:00:00,nat1
pl87,Midge Purce,tm8,pos1,23,3,2,4,0,27,14,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\28/Margaret_Purce.png,5.42,-1,1995-09-18 00:00:00,nat1
pl192,Cyera Hintzen,tm8,pos1,30,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,1997-10-28 00:00:00,nat1
pl254,Katie Stengel,tm8,pos1,-1,2,0,1,0,6,4,0,0,0,N/A,5.75,-1,1992-02-29 00:00:00,nat1
pl37,Ashley Hatch,tm9,pos1,33,9,2,3,0,54,24,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Ashley_Hatch_002.jpeg,5.75,-1,1995-05-25 00:00:00,nat1
pl150,Civana Kuhlmann,tm9,pos1,20,0,0,0,0,3,2,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\13/USATSI_20237428.jpg,5.5,-1,1999-04-14 00:00:00,nat1
pl177,Tara McKeown,tm9,pos1,9,1,1,4,0,19,3,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Tara_McKeown_002.jpeg,5.58,-1,1999-07-02 00:00:00,nat1
pl209,Ashley Sanchez,tm9,pos1,10,5,1,0,0,39,16,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Ashley_Sanchez_002.jpeg,5.33,117,1999-03-16 00:00:00,nat1
pl218,Lena Silano,tm9,pos1,24,0,1,0,0,8,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Lina_Silano_002.jpeg,5.58,-1,2000-02-28 00:00:00,nat1
pl286,Trinity Rodman,tm9,pos1,2,5,2,3,0,56,29,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Trinity_Rodman_002.jpeg,5.58,128,2002-05-20 00:00:00,nat1
pl21,Sydney Leroux,tm10,pos1,2,1,0,0,0,13,8,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Sidney_Leroux_001.jpeg,5.58,-1,1990-05-07 00:00:00,nat1
pl28,Simone Charley,tm10,pos1,7,0,0,0,0,1,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Simone_Charley_001.jpeg,5.67,-1,1995-02-04 00:00:00,nat1
pl260,Jasmyne Spencer,tm10,pos1,3,1,0,1,0,13,2,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Jasmyne_Spencer_001.jpeg,5.08,-1,1990-08-27 00:00:00,nat1
pl100,Mallory Swanson,tm11,pos1,9,1,0,0,0,9,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Mallory_Swanson_001.jpeg,5.33,117,1998-04-29 00:00:00,nat1
pl115,Ella Stevens,tm11,pos1,8,4,1,1,0,18,8,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Ella_Stevens_002.jpeg,5.67,-1,1997-12-11 00:00:00,nat1
pl172,Jenna Bike,tm11,pos1,24,0,0,2,0,5,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Jenna_Bike_002.jpeg,5.5,-1,1998-02-02 00:00:00,nat1
pl206,Sarah Griffith,tm11,pos1,15,0,1,0,0,8,2,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Sarah_Griffith_001.jpeg,5.33,-1,1999-04-30 00:00:00,nat1
pl216,Penelope Hocking,tm11,pos1,55,3,1,3,0,33,12,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Penelope_Hocking_002.jpeg,5.42,-1,1999-12-29 00:00:00,nat1
pl295,Ava Cook,tm11,pos1,25,3,0,2,0,17,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Ava_Cook_001.jpeg,5.83,-1,1998-10-03 00:00:00,nat1
pl318,Allyson Schlegel,tm11,pos1,34,2,1,0,0,4,3,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Ally_Schlegel_001.jpeg,5.58,-1,2000-02-07 00:00:00,nat1
pl43,Brittany Ratcliffe,tm12,pos1,11,0,0,0,0,9,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\21/Brittany_Ratcliffe.jpeg,5.33,-1,1994-02-07 00:00:00,nat1
pl165,Haley Hopkins,tm12,pos1,5,1,1,0,0,13,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\13/haley.jpg,0.0,-1,1998-12-21 00:00:00,nat1
pl204,Olivia Wingate,tm12,pos1,20,0,2,0,0,13,6,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Olivia_Wingate.jpeg,0.0,-1,2000-02-20 00:00:00,nat1
pl237,Tyler Lussi,tm12,pos1,14,5,0,3,0,25,11,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Tyler_Lussi.jpeg,5.58,-1,1995-01-26 00:00:00,nat1
pl16,Becky Sauerbrunn,tm1,pos3,4,0,0,0,0,2,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Becky_Sauerbrunn.png,5.58,139,1985-06-06 00:00:00,nat1
pl23,Meghan Klingenberg,tm1,pos3,25,0,3,2,0,9,2,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Meghan_Klingenberg_001.jpeg,5.17,126,1988-08-02 00:00:00,nat1
pl32,Kelli Hubly,tm1,pos3,20,1,0,4,1,10,6,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Kelli_Hubly_001.jpeg,5.75,-1,1994-08-09 00:00:00,nat1
pl97,Tegan McGrady,tm1,pos3,29,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Tegan_McGrady_001.jpeg,5.5,-1,1997-10-11 00:00:00,nat1
pl130,Meaghan Nally,tm1,pos3,39,0,0,1,0,2,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Meaghan_Nally_001.jpeg,5.58,-1,1998-06-30 00:00:00,nat1
pl137,Emily Menges,tm1,pos3,5,0,0,0,0,1,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Emily_Menges_001.jpeg,5.58,-1,1992-07-28 00:00:00,nat1
pl60,Katie Naughton,tm2,pos3,25,0,0,0,1,2,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Katie_Lind_002.jpeg,5.83,-1,1994-02-15 00:00:00,nat1
pl91,Natalie Jacobs,tm2,pos3,4,0,0,4,1,5,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Natalie_Jacobs_002.jpeg,5.67,-1,1997-08-16 00:00:00,nat1
pl123,Ally Prisock,tm2,pos3,23,1,0,0,0,1,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Ally_Prisock_002.jpeg,5.67,-1,1997-01-18 00:00:00,nat1
pl128,Courtney Petersen,tm2,pos3,5,0,0,1,0,3,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Courtney_Peters_002.jpeg,5.42,-1,1997-10-28 00:00:00,nat1
pl200,Jyllissa Harris,tm2,pos3,37,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Jyllissa_Harris_002.JPG,5.67,-1,2000-04-08 00:00:00,nat1
pl243,Caprice Dydasco,tm2,pos3,3,0,1,3,0,9,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Caprice_Dydasco_002.jpeg,5.25,-1,1993-08-19 00:00:00,nat1
pl266,Madelyn Desiano,tm2,pos3,31,0,0,0,0,1,0,0,0,0,N/A,5.5,-1,2000-02-18 00:00:00,nat1
pl273,Lindsi Jennings,tm2,pos3,36,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\12/jennings.jpg,5.75,-1,1111-11-11,nat1
pl53,Carson Pickett,tm3,pos3,16,0,0,3,0,13,5,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Carson_Pickett_002.jpeg,5.67,-1,1993-09-15 00:00:00,nat1
pl109,Julia Lester,tm3,pos3,15,0,0,1,0,1,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Julia_Lester_002.jpeg,0.0,-1,1998-01-16 00:00:00,nat1
pl278,Zaneta Wyne,tm3,pos3,3,0,0,0,0,0,0,0,0,0,N/A,5.5,128,1990-08-03 00:00:00,nat1
pl7,Alexis Loera,tm4,pos3,22,0,3,1,0,4,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Alexis_Loera.jpeg,5.58,163,1999-06-19 00:00:00,nat1
pl62,Elizabeth Ball,tm4,pos3,7,0,0,1,0,6,2,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Elizabeth_Ball.jpeg,5.5,-1,1995-10-19 00:00:00,nat1
pl63,Mallory Weber,tm4,pos3,20,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Mallory_Weber.jpeg,5.5,-1,1994-04-04 00:00:00,nat1
pl175,Jenna Winebrenner,tm4,pos3,19,0,0,0,0,1,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Jenna_Winebrenner.jpeg,5.58,-1,1999-03-01 00:00:00,nat1
pl183,Addisyn Merrick,tm4,pos3,26,0,0,0,0,2,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Addisyn_Merrick.jpeg,5.33,-1,1998-03-04 00:00:00,nat1
pl187,Kate Del Fava,tm4,pos3,8,0,1,3,0,9,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Kate_Del_Fava.jpeg,5.67,-1,1998-07-23 00:00:00,nat1
pl269,Croix Soto,tm4,pos3,23,0,0,0,0,2,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\9\14/Croix_Soto.png,5.83,-1,2001-01-02 00:00:00,nat1
pl282,Gabrielle Robinson,tm4,pos3,24,0,0,2,0,4,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Gabrielle_Robinson.jpeg,5.67,-1,2001-06-18 00:00:00,nat1
pl300,Isabel Rodriguez,tm4,pos3,18,3,2,3,0,7,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Isabel_Rodriguez.jpeg,5.42,-1,1999-04-13 00:00:00,nat1
pl25,Christen Westphal,tm5,pos3,20,0,4,1,0,6,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Christen_Westphal_001.jpeg,5.5,-1,1993-09-02 00:00:00,nat1
pl85,Kaleigh Riehl,tm5,pos3,18,0,0,1,0,2,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Kaleigh_Riehl_001.jpeg,5.67,-1,1996-10-21 00:00:00,nat1
pl114,Mia Gyau,tm5,pos3,26,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Mia_Gyau_001.jpeg,5.33,-1,1998-06-22 00:00:00,nat1
pl132,Abby Dahlkemper,tm5,pos3,2,1,0,0,0,2,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Abby_Dahlkemper_001.jpeg,5.58,-1,1993-05-13 00:00:00,nat1
pl222,Chai Cortez,tm5,pos3,46,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,1998-07-18 00:00:00,nat1
pl224,Madison Pogarch,tm5,pos3,16,1,0,4,0,5,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Madison_Pogarch_001.jpeg,5.5,-1,1997-11-05 00:00:00,nat1
pl227,Naomi Girma,tm5,pos3,4,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Naomi_Girma_001.jpeg,5.42,126,2000-06-14 00:00:00,nat1
pl306,Cheyenne Shorts,tm5,pos3,-1,1,0,0,0,1,1,0,0,0,N/A,5.75,-1,1998-08-10 00:00:00,nat1
pl90,Haley Hanson,tm6,pos3,2,1,0,4,0,15,4,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Haley_McCutcheon_001.jpeg,5.5,-1,1996-02-22 00:00:00,nat1
pl145,Megan Oyster,tm6,pos3,5,0,0,3,0,2,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Megan_Montefusco_001.jpeg,5.67,-1,1992-09-03 00:00:00,nat1
pl168,Emily Madril,tm6,pos3,6,0,0,2,0,1,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Emily_Madril_001.jpeg,0.0,-1,1999-07-01 00:00:00,nat1
pl170,Kerry Abello,tm6,pos3,25,1,0,1,0,27,12,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Kerry_Abello_001.jpeg,0.0,-1,1999-09-17 00:00:00,nat1
pl181,Caitlin Cosme,tm6,pos3,26,0,0,1,0,1,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\26/Caitlin_Cosme_1.PNG,0.0,-1,1999-01-19 00:00:00,nat1
pl270,Kylie Strom,tm6,pos3,3,1,1,2,0,7,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Kylie_Strom_001.jpeg,5.67,-1,1992-03-18 00:00:00,nat1
pl323,Brianna Martínez,tm6,pos3,32,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\13/martinez_headshot.jpg,0.0,-1,2000-04-22 00:00:00,nat1
pl38,Emily Sonnett,tm7,pos3,2,0,1,4,0,9,2,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Emily_Sonnett_001.jpeg,5.58,137,1993-11-25 00:00:00,nat1
pl99,Alana Cook,tm7,pos3,4,0,1,2,1,3,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Alana_Cook_001.jpeg,5.75,150,1997-04-11 00:00:00,nat1
pl101,Lauren Barnes,tm7,pos3,3,0,1,1,0,2,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Lauren_Barnes_001.jpeg,5.42,-1,1989-05-31 00:00:00,nat1
pl127,Phoebe McClernon,tm7,pos3,21,0,0,2,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Phoebe_McClernon_001.jpeg,5.58,-1,1997-12-13 00:00:00,nat1
pl155,Alyssa Malonson,tm7,pos3,20,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Alyssa_Malonson_001.jpeg,5.25,-1,1999-04-09 00:00:00,nat1
pl158,Ryanne Brown,tm7,pos3,22,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Ryanne_Brown_001.jpeg,5.67,-1,1999-01-21 00:00:00,nat1
pl188,Sofia Huerta,tm7,pos3,11,1,2,2,0,9,5,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Sofia_Huerta_001.jpeg,5.67,139,1992-12-14 00:00:00,nat1
pl198,Shae Holmes,tm7,pos3,25,0,0,0,0,1,0,0,0,0,N/A,0.0,-1,2000-03-08 00:00:00,nat1
pl279,Samantha Hiatt,tm7,pos3,17,0,0,2,0,4,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Sam_Hiatt_001.jpeg,5.83,-1,1998-01-06 00:00:00,nat1
pl14,Ali Krieger,tm8,pos3,11,0,0,1,0,3,1,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Ali_Krieger_001.jpeg,5.5,130,1984-07-28 00:00:00,nat1
pl19,Kelley O'Hara,tm8,pos3,5,0,0,2,0,10,2,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Kelley_OHara_001.jpeg,5.42,128,1988-08-04 00:00:00,nat1
